batch,t_obs,fe_first,fe_last,fe_per_N,elapsed,cumulative_time,rel_err_vs_truth
1,10,639.9766969909001,215.4340654374359,21.54340654374359,2.865697145462036,2.865697145462036,1.121816642956995
2,20,545.2353871792042,85.90481075534065,8.590481075534065,3.858675956726074,6.72437310218811,0.9711786700708197
3,30,493.23326069533675,81.57080260179576,8.157080260179576,3.210996150970459,9.93536925315857,0.9588248360323794
4,40,542.4891698488974,281.54289407918884,28.154289407918885,2.7605371475219727,12.695906400680542,0.9385979574041445
5,50,520.8756102257179,323.1017368654119,32.31017368654119,2.7407851219177246,15.436691522598267,0.9190569588097289
6,60,481.9572714966637,303.2605692135635,30.326056921356347,2.7699780464172363,18.206669569015503,0.9044211298024705
7,70,461.8390110995367,299.44022957757664,29.944022957757664,2.780259847640991,20.986929416656494,0.8943023377814286
8,80,372.00770161085694,182.65266646277178,18.265266646277176,2.664443016052246,23.65137243270874,0.8871157685780686
9,90,368.81564410115266,169.1488779874029,16.91488779874029,2.729274034500122,26.380646467208862,0.8760644854843561
10,100,351.64267090241134,155.31655149657738,15.531655149657738,3.0030391216278076,29.38368558883667,0.870431253208468
