dataset,horizon,w_scale,subsample_percentage,mse,mae,status,error
exchange_rate,96,0.001,0.005,0.4763008474531738,0.5231980925370787,ok,
exchange_rate,96,0.001,0.01,0.44934721987472986,0.5070752281709391,ok,
exchange_rate,96,0.001,0.02,0.46786906264270883,0.5146500342009571,ok,
exchange_rate,96,100.0,0.005,0.45087865180514153,0.5052928423737335,ok,
exchange_rate,96,100.0,0.01,0.45224029862090054,0.5018934829472795,ok,
exchange_rate,96,100.0,0.02,0.4346936456521446,0.49254458751737445,ok,
exchange_rate,96,1000.0,0.005,0.4914654084646695,0.5362698821891485,ok,
exchange_rate,96,1000.0,0.01,0.48085341269567744,0.5275089304025745,ok,
exchange_rate,96,1000.0,0.02,0.46298643642560156,0.514541793028226,ok,
exchange_rate,192,0.001,0.005,0.7209416162829757,0.6683234197506254,ok,
exchange_rate,192,0.001,0.01,0.7202998612897152,0.6626463466894246,ok,
exchange_rate,192,0.001,0.02,0.7340284969427645,0.6677810086335927,ok,
exchange_rate,192,100.0,0.005,0.7053027446695851,0.6545058897241273,ok,
exchange_rate,192,100.0,0.01,0.7124165499409427,0.65283509286383,ok,
exchange_rate,192,100.0,0.02,0.7324837598343088,0.6590049849053347,ok,
exchange_rate,192,1000.0,0.005,0.6943000677968975,0.6586509683761962,ok,
exchange_rate,192,1000.0,0.01,0.6947840031558458,0.6558172921513642,ok,
exchange_rate,192,1000.0,0.02,0.7027796431099242,0.6548507821572117,ok,
exchange_rate,336,0.001,0.005,0.8795807343099029,0.7044994178328722,ok,
exchange_rate,336,0.001,0.01,0.9228199189829464,0.7150771664323532,ok,
exchange_rate,336,0.001,0.02,0.9038558241296618,0.7080273017321331,ok,
exchange_rate,336,100.0,0.005,0.904475859849115,0.7097533024034237,ok,
exchange_rate,336,100.0,0.01,0.946004354592176,0.7196476345209278,ok,
exchange_rate,336,100.0,0.02,0.9415637123223524,0.7177689034369183,ok,
exchange_rate,336,1000.0,0.005,0.8687074148612205,0.7032067117407046,ok,
exchange_rate,336,1000.0,0.01,0.8828794379009054,0.7050603504635558,ok,
exchange_rate,336,1000.0,0.02,0.894701748686108,0.7066372736082158,ok,
exchange_rate,720,0.001,0.005,1.348151355175987,0.8998205532322112,ok,
exchange_rate,720,0.001,0.01,1.39599513935281,0.9087053747027051,ok,
exchange_rate,720,0.001,0.02,1.4096683563267776,0.9137214651055465,ok,
exchange_rate,720,100.0,0.005,1.3684813823369528,0.9016205569269481,ok,
exchange_rate,720,100.0,0.01,1.4269408436474276,0.9177561103561462,ok,
exchange_rate,720,100.0,0.02,1.4552901517726542,0.9277274777037112,ok,
exchange_rate,720,1000.0,0.005,1.3062448070992452,0.886014113528906,ok,
exchange_rate,720,1000.0,0.01,1.324278121293958,0.8902565816558274,ok,
exchange_rate,720,1000.0,0.02,1.3510771081514703,0.8973988416937632,ok,
ETTh1,96,0.001,0.005,0.13895382286605878,0.2976837820165518,ok,
ETTh1,96,0.001,0.01,0.1389538223813926,0.2976837815285838,ok,
